Iteracao,Custo
0,469667
1,469177
4,439528
1,439355
1,439068
1,437868
0,478493
1,438370
10,437868
0,479393
1,477857
18,477790
4,477207
13,439056
2,438370
3,437944
3,437906
6,437868
0,490990
1,490581
3,489513
5,439843
1,439068
1,437906
1,437868
0,470561
1,470219
9,468833
28,440877
1,438862
1,437944
4,437906
13,437868
0,480127
1,478742
2,478020
1,477857
1,438370
5,437868
0,489446
7,489126
3,439610
1,438370
13,437868
0,478493
2,478383
8,439870
1,437868
0,469734
2,469177
9,468833
6,439870
1,438370
1,437868
0,479613
2,439571
1,439355
1,438370
1,437868
0,489446
1,489126
7,439724
1,437868
0,440164
1,439528
1,438370
4,437868
0,470707
1,469667
6,468833
4,437868
0,477790
5,476875
43,439610
1,437868
0,478493
1,439528
1,438370
6,437906
4,437868
0,440164
1,438862
1,438779
2,437944
4,437906
2,437868
0,478742
3,437906
7,437868
0,478493
1,439870
1,439068
1,437868
0,469667
2,439870
1,437906
5,437868
0,489446
9,489271
4,440284
1,439678
1,439068
4,437868
0,438370
4,437868
0,477207
11,437868
0,471049
1,469667
8,468833
1,439870
1,438779
1,437868
0,478986
1,439870
1,438370
1,437868
0,480127
1,478953
1,477207
3,476875
11,438370
3,437906
18,437868
0,489446
12,489126
13,437868
0,478483
3,438370
2,437868
0,479573
1,478742
2,476875
8,438370
8,437868
0,491242
3,489126
16,437906
13,437868
0,478493
1,439724
1,439056
1,437906
4,437868
0,439742
1,438370
4,437906
2,437868
0,479031
1,437868
0,478483
1,439870
1,439667
2,439571
3,439430
2,438370
9,437906
4,437868
0,490581
4,438862
2,437868
0,471049
1,468833
60,439870
1,437868
0,477926
2,477207
21,437868
0,438779
1,438370
5,437868
0,489446
5,439571
1,437906
1,437868
0,468833
28,439870
1,439430
4,437944
5,437868
0,478493
1,478383
3,439870
1,439295
1,438862
2,437868
0,489513
4,489126
1,439870
1,438862
1,437906
9,437868
0,479428
3,478742
7,476875
4,440164
2,438779
2,437944
9,437868
0,452119
2,452082
1,439068
3,437868
0,491092
2,489446
6,489126
10,439843
1,437944
2,437868
0,480548
1,440284
1,437906
8,437868
0,438779
1,437906
6,437868
0,489446
4,489126
2,440164
1,439571
1,437944
6,437906
12,437868
0,479393
1,478742
3,478020
3,477790
2,476875
30,439870
1,438779
1,437868
0,478493
1,440164
1,439528
3,438370
4,437868
0,469667
4,469177
3,468833
6,439610
1,439068
1,437868
0,480548
1,479031
3,477857
2,477790
7,439724
2,439430
1,437868
0,489446
1,489271
7,439870
1,437868
0,439571
5,439465
1,437944
7,437868
0,478493
2,439870
1,437906
10,437868
0,477790
8,476875
12,437868
0,452434
1,452119
5,437868
0,438370
2,437868
0,490907
1,437944
2,437906
4,437868
0,438370
9,437868
0,478062
1,477857
1,477790
2,476875
12,438370
2,437868
0,490581
1,489446
2,440164
1,437868
0,439571
2,437868
0,468833
7,439667
1,437944
3,437868
0,477643
2,477207
2,476875
4,437868
0,489446
1,439870
1,439068
3,438370
2,437944
5,437868
0,478493
1,478483
1,437906
12,437868
0,439068
2,437906
3,437868
0,477790
2,440164
1,438370
1,437868
0,478493
1,439068
1,439056
1,438370
1,437868
0,452501
5,452082
15,439870
1,439295
1,437868
0,479641
1,477790
5,476875
45,437868
0,491526
3,491224
1,490995
1,489446
1,440284
1,438370
3,437906
16,437868
0,438370
2,437906
7,437868
0,468833
11,437944
5,437906
13,437868
0,478742
2,477207
8,476875
21,437868
0,439430
2,437906
1,437868
0,491367
2,490197
2,439295
1,438862
1,437944
6,437868
0,480548
1,477207
1,438370
3,437868
0,438370
3,437868
0,491005
1,439571
1,437944
7,437868
0,478742
2,477207
2,476875
3,439870
1,437868
0,469667
3,469177
3,468833
26,437944
1,437906
1,437868
0,478493
1,478483
2,439465
1,438370
6,437868
0,478742
4,476875
60,437906
7,437868
0,437868
0,490581
2,490061
1,489126
20,439571
2,437906
4,437868
0,480127
1,479534
1,479031
2,478742
6,476875
2,437868
0,478493
1,439724
1,437868
0,490726
3,489446
5,439870
1,439571
1,438370
2,437868
0,477207
8,476875
53,439870
1,438779
2,438370
3,437906
3,437868
0,439652
1,438370
1,437868
0,470219
1,468833
4,439870
1,437944
6,437868
0,491526
1,490061
3,489446
3,489126
8,438370
2,437868
0,478742
7,477207
2,476875
18,439870
1,437868
0,439430
2,439068
1,438370
2,437906
3,437868
0,489446
1,439870
1,439678
2,439571
1,438370
10,437906
19,437868
0,478742
6,477643
1,477207
10,439870
1,438862
2,437868
0,470975
1,469667
4,468833
20,438862
1,437906
2,437868
0,491526
1,490726
2,489446
3,489126
15,437868
0,477643
2,476875
7,437868
